,Rate (cm^3 mol^-1 s^-1)
0.001,0.0
0.002,0.0
0.003,0.0
0.004,0.0
0.005,0.0
0.006,0.0
0.007,0.0
0.008,0.0
0.009,0.0
0.01,0.0
0.011,0.0
0.012,0.0
0.013,0.0
0.014,0.0
0.015,0.0
0.016,0.0
0.018,0.0
0.02,0.0
0.025,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.07,3.3751083304535158e-282
0.08,2.9514986922113587e-246
0.09,2.679555705767344e-218
0.1,6.242413781302624e-196
0.11,1.2453670503958137e-177
0.12,2.2076124035269187e-162
0.13,1.7575859645951569e-149
0.14,2.0002717791145683e-138
0.15,7.608068613944549e-129
0.16,1.828785066820019e-120
0.18,1.680901528439704e-106
0.2,2.458289981926593e-95
0.25,2.9477183658736625e-75
0.3,6.854246146614555e-62
0.35,2.3394175579286843e-52
0.4,3.2222283281747284e-45
0.45,1.1283889070912734e-39
0.5,3.0302181235722665e-35
0.6,1.293724114184882e-28
0.7,6.856848738517922e-24
0.8,2.3535883287065382e-20
0.9,1.3076674808529051e-17
1.0,2.0354708374843204e-15
1.25,1.758362297456607e-11
1.5,7.2732287693897e-09
1.75,5.335380186091784e-07
2.0,1.3340988058378378e-05
2.5,0.0012133762234323084
3.0,0.024749392579228896
3.5,0.21451211787790633
4.0,1.0851754449638265
5.0,10.429013181087889
6.0,46.37653814591196
7.0,2512.445620965093
8.0,5416.939981407997
9.0,9646.712311081481
10.0,15101.229672733261
